         20310945 function calls (20131090 primitive calls) in 25.339 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.000    0.000 {method 'argsort' of 'numpy.ndarray' objects}
      410    0.000    0.000    0.000    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/numpy/core/numerictypes.py:293(issubclass_)
        3    0.000    0.000    0.000    0.000 {method 'argmax' of 'numpy.ndarray' objects}
     69/9    0.000    0.000    0.001    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/sre_compile.py:71(_compile)
       24    0.000    0.000    0.000    0.000 {built-in method posix.stat}
       19    0.000    0.000    0.025    0.001 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/algorithms.py:1608(take_nd)
      205    0.000    0.000    0.001    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/numpy/core/numerictypes.py:365(issubdtype)
      962    0.000    0.000    0.001    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/sre_parse.py:254(get)
      273    0.000    0.000    0.001    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/dtypes/common.py:678(is_categorical_dtype)
      181    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
        8    0.000    0.000    0.001    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/scipy/sparse/compressed.py:138(check_format)
        3    0.000    0.000    0.000    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/indexers.py:161(maybe_convert_indices)
       70    0.000    0.000    0.002    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/internals/blocks.py:3241(make_block)
       70    0.000    0.000    0.001    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/internals/blocks.py:120(__init__)
        2    0.000    0.000    0.000    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/ops/__init__.py:1081(na_op)
        7    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
    24/23    0.000    0.000    0.002    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/series.py:194(__init__)
       41    0.000    0.000    0.001    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/internals/blocks.py:3195(get_block_type)
